PERMNO,date,SHRCD,TICKER,COMNAM,CUSIP,PRC,RET,RETX
15404,20150630,,,,19828010,,,
15404,20150731,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,29.18000,C,C
15404,20150831,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,25.36000,-0.130912,-0.130912
15404,20150930,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,18.29000,-0.278785,-0.278785
15404,20151030,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,20.77000,0.142428,0.135593
15404,20151130,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,19.17000,-0.077034,-0.077034
15404,20151231,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,20.00000,0.043297,0.043297
15404,20160129,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,18.55000,-0.072500,-0.072500
15404,20160229,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,18.15000,-0.014623,-0.021563
15404,20160331,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,25.10000,0.382920,0.382920
15404,20160429,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,25.62000,0.026046,0.020717
15404,20160531,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,25.54000,-0.003123,-0.003123
15404,20160630,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,25.49000,-0.001958,-0.001958
15404,20160729,11,CPGX,COLUMBIA PIPELINE GROUP INC,19828010,,,
25320,19650129,11,CPB,CAMPBELL SOUP CO,13442910,37.00000,-0.039355,-0.045161
25320,19650226,11,CPB,CAMPBELL SOUP CO,13442910,37.50000,0.013514,0.013514
25320,19650331,11,CPB,CAMPBELL SOUP CO,13442910,34.75000,-0.073333,-0.073333
25320,19650430,11,CPB,CAMPBELL SOUP CO,13442910,35.25000,0.020863,0.014388
25320,19650528,11,CPB,CAMPBELL SOUP CO,13442910,35.37500,0.003546,0.003546
25320,19650630,11,CPB,CAMPBELL SOUP CO,13442910,35.00000,-0.010601,-0.010601
25320,19650730,11,CPB,CAMPBELL SOUP CO,13442910,33.62500,-0.032857,-0.039286
25320,19650831,11,CPB,CAMPBELL SOUP CO,13442910,34.00000,0.011152,0.011152
25320,19650930,11,CPB,CAMPBELL SOUP CO,13442910,35.12500,0.033088,0.033088
25320,19651029,11,CPB,CAMPBELL SOUP CO,13442910,36.25000,0.038434,0.032028
25320,19651130,11,CPB,CAMPBELL SOUP CO,13442910,38.00000,0.048276,0.048276
25320,19651231,11,CPB,CAMPBELL SOUP CO,13442910,35.50000,-0.065789,-0.065789
25320,19660131,11,CPB,CAMPBELL SOUP CO,13442910,34.62500,-0.017606,-0.024648
25320,19660228,11,CPB,CAMPBELL SOUP CO,13442910,35.25000,0.018051,0.018051
25320,19660331,11,CPB,CAMPBELL SOUP CO,13442910,31.50000,-0.106383,-0.106383
25320,19660429,11,CPB,CAMPBELL SOUP CO,13442910,31.00000,-0.007937,-0.015873
25320,19660531,11,CPB,CAMPBELL SOUP CO,13442910,30.37500,-0.020161,-0.020161
25320,19660630,11,CPB,CAMPBELL SOUP CO,13442910,30.37500,0.000000,0.000000
25320,19660729,11,CPB,CAMPBELL SOUP CO,13442910,29.62500,-0.016461,-0.024691
25320,19660831,11,CPB,CAMPBELL SOUP CO,13442910,28.12500,-0.050633,-0.050633
25320,19660930,11,CPB,CAMPBELL SOUP CO,13442910,26.12500,-0.071111,-0.071111
25320,19661031,11,CPB,CAMPBELL SOUP CO,13442910,28.62500,0.105263,0.095694
25320,19661130,11,CPB,CAMPBELL SOUP CO,13442910,28.12500,-0.017467,-0.017467
25320,19661230,11,CPB,CAMPBELL SOUP CO,13442910,27.12500,-0.035556,-0.035556
25320,19670131,11,CPB,CAMPBELL SOUP CO,13442910,28.37500,0.055300,0.046083
25320,19670228,11,CPB,CAMPBELL SOUP CO,13442910,25.75000,-0.092511,-0.092511
25320,19670331,11,CPB,CAMPBELL SOUP CO,13442910,25.87500,0.004854,0.004854
25320,19670428,11,CPB,CAMPBELL SOUP CO,13442910,28.12500,0.096618,0.086957
25320,19670531,11,CPB,CAMPBELL SOUP CO,13442910,27.37500,-0.026667,-0.026667
25320,19670630,11,CPB,CAMPBELL SOUP CO,13442910,26.37500,-0.036530,-0.036530
25320,19670731,11,CPB,CAMPBELL SOUP CO,13442910,28.25000,0.080569,0.071090
25320,19670831,11,CPB,CAMPBELL SOUP CO,13442910,27.37500,-0.030973,-0.030973
25320,19670929,11,CPB,CAMPBELL SOUP CO,13442910,32.62500,0.191781,0.191781
25320,19671031,11,CPB,CAMPBELL SOUP CO,13442910,28.75000,-0.111111,-0.118774
25320,19671130,11,CPB,CAMPBELL SOUP CO,13442910,30.75000,0.069565,0.069565
25320,19671229,11,CPB,CAMPBELL SOUP CO,13442910,28.37500,-0.077236,-0.077236
25320,19680131,11,CPB,CAMPBELL SOUP CO,13442910,28.50000,0.013216,0.004405
25320,19680229,11,CPB,CAMPBELL SOUP CO,13442910,29.37500,0.030702,0.030702
25320,19680329,11,CPB,CAMPBELL SOUP CO,13442910,29.37500,0.000000,0.000000
25320,19680430,11,CPB,CAMPBELL SOUP CO,13442910,31.00000,0.063830,0.055319
25320,19680531,11,CPB,CAMPBELL SOUP CO,13442910,34.00000,0.096774,0.096774
25320,19680628,11,CPB,CAMPBELL SOUP CO,13442910,32.37500,-0.047794,-0.047794
25320,19680730,11,CPB,CAMPBELL SOUP CO,13442910,28.25000,-0.119691,-0.127413
25320,19680830,11,CPB,CAMPBELL SOUP CO,13442910,29.62500,0.048673,0.048673
25320,19680930,11,CPB,CAMPBELL SOUP CO,13442910,29.75000,0.004219,0.004219
25320,19681031,11,CPB,CAMPBELL SOUP CO,13442910,28.75000,-0.025210,-0.033613
25320,19681129,11,CPB,CAMPBELL SOUP CO,13442910,33.25000,0.156522,0.156522
25320,19681231,11,CPB,CAMPBELL SOUP CO,13442910,31.87500,-0.041353,-0.041353
25320,19690131,11,CPB,CAMPBELL SOUP CO,13442910,30.75000,-0.026667,-0.035294
25320,19690228,11,CPB,CAMPBELL SOUP CO,13442910,29.75000,-0.032520,-0.032520
25320,19690328,11,CPB,CAMPBELL SOUP CO,13442910,30.62500,0.029412,0.029412
25320,19690430,11,CPB,CAMPBELL SOUP CO,13442910,32.25000,0.062041,0.053061
25320,19690529,11,CPB,CAMPBELL SOUP CO,13442910,32.00000,-0.007752,-0.007752
25320,19690630,11,CPB,CAMPBELL SOUP CO,13442910,30.00000,-0.062500,-0.062500
25320,19690731,11,CPB,CAMPBELL SOUP CO,13442910,28.75000,-0.032500,-0.041667
25320,19690829,11,CPB,CAMPBELL SOUP CO,13442910,30.12500,0.047826,0.047826
25320,19690930,11,CPB,CAMPBELL SOUP CO,13442910,29.87500,-0.008299,-0.008299
25320,19691031,11,CPB,CAMPBELL SOUP CO,13442910,32.62500,0.101255,0.092050
25320,19691128,11,CPB,CAMPBELL SOUP CO,13442910,34.87500,0.068966,0.068966
25320,19691231,11,CPB,CAMPBELL SOUP CO,13442910,35.62500,0.021505,0.021505
25320,19700130,11,CPB,CAMPBELL SOUP CO,13442910,34.00000,-0.037895,-0.045614
25320,19700227,11,CPB,CAMPBELL SOUP CO,13442910,35.75000,0.051471,0.051471
25320,19700331,11,CPB,CAMPBELL SOUP CO,13442910,35.25000,-0.013986,-0.013986
25320,19700430,11,CPB,CAMPBELL SOUP CO,13442910,29.75000,-0.148227,-0.156028
25320,19700529,11,CPB,CAMPBELL SOUP CO,13442910,25.37500,-0.147059,-0.147059
25320,19700630,11,CPB,CAMPBELL SOUP CO,13442910,26.00000,0.024631,0.024631
25320,19700731,11,CPB,CAMPBELL SOUP CO,13442910,27.87500,0.082692,0.072115
25320,19700831,11,CPB,CAMPBELL SOUP CO,13442910,27.00000,-0.031390,-0.031390
25320,19700930,11,CPB,CAMPBELL SOUP CO,13442910,27.62500,0.023148,0.023148
25320,19701030,11,CPB,CAMPBELL SOUP CO,13442910,28.62500,0.046154,0.036199
25320,19701130,11,CPB,CAMPBELL SOUP CO,13442910,30.00000,0.048035,0.048035
25320,19701231,11,CPB,CAMPBELL SOUP CO,13442910,32.37500,0.079167,0.079167
25320,19710129,11,CPB,CAMPBELL SOUP CO,13442910,32.75000,0.020077,0.011583
25320,19710226,11,CPB,CAMPBELL SOUP CO,13442910,32.50000,-0.007634,-0.007634
